,total reward,targets hit
653,211247.68410575535,4
654,223178.54760983918,5
655,301929.2039426125,5
656,126491.32652811642,3
657,161831.00579338302,4
658,130608.33943818227,3
659,180625.52640151445,4
660,180619.00954554818,4
661,212402.641174989,4
662,532554.0966066959,8
663,294760.38489896315,5
664,201631.88607720716,4
665,232275.39904824077,4
666,300660.2748830054,5
667,253653.99851891157,4
668,236787.03261949244,4
669,314206.05881508015,6
670,421568.5110502666,6
671,396109.1073340167,6
672,437444.73853928054,6
673,323679.9106586196,5
674,208096.5219817748,4
675,235776.59470045203,5
676,233040.09717877427,4
677,319714.3017292604,5
678,247368.28641233515,4
679,237508.30385960787,4
680,166474.59164201457,4
681,656860.3250210384,7
682,363960.29879252694,6
683,315418.6085942986,5
684,454535.4463420043,6
685,103367.42596183752,4
686,334030.83742198016,6
687,368695.59773866454,5
688,266081.63004362007,4
689,537851.7655470489,6
690,257313.25162816764,4
691,332383.40651282447,5
692,238947.04956019524,4
693,412429.0994750798,5
694,234316.15626022767,4
695,472635.39724334754,6
696,247036.25462373043,5
697,460116.455825296,6
698,235552.52935590246,4
699,238205.02877283253,4
700,258271.4961074941,5
701,252107.07901608117,4
702,374301.1172587376,5
703,245176.70276654582,5
704,137961.33774211362,4
705,313743.12729706056,5
706,246869.13915167176,4
707,185607.6352015895,4
708,533082.1528313453,8
709,105139.194966514,3
710,299700.4717204651,5
711,419654.3554643346,6
712,281544.46862110327,5
713,401753.02364838996,6
714,354270.5526275962,6
715,233576.1898031915,4
716,423064.46001026523,6
717,372844.80351801397,5
718,264380.4697835914,5
719,263766.7733378076,5
720,259208.78247436337,5
721,321410.9928528424,5
722,207719.19194961822,4
723,251930.03771486596,5
724,307136.9269538709,5
725,278821.3425152602,5
726,210172.5407454647,5
727,205713.44136610947,4
728,273907.0612762088,5
729,313314.1184015852,5
730,343014.70908663434,5
731,317975.4631377979,6
732,331784.10947921965,6
733,315554.24406175193,5
734,590372.5420066133,6
735,182317.90040419463,4
736,160435.81524962044,4
737,372740.1743048713,5
738,435546.0948359129,6
739,288586.43004599796,5
740,327823.7379510777,6
741,199639.86684701516,4
742,496147.34153383394,6
743,246296.5296283759,4
744,576888.7159235257,6
745,537570.7788674035,6
746,232442.1314867373,4
747,532994.1953345265,6
748,497467.44492806506,6
749,393953.00151196413,5
750,326551.2987277338,5
751,214937.39246084073,4
752,571017.3198026177,6
753,391183.06632391707,5
754,223376.8124111212,4
755,247536.9298778382,4
756,559765.1671318583,6
757,230266.7680901677,4
758,136649.2944420082,5
759,440215.9385737727,6
760,226532.5419996569,4
761,459829.6985857146,6
762,336489.324284759,5
763,325966.9877844725,5
764,249460.77031371294,5
765,283804.7993753368,5
766,394880.8569685819,6
767,345328.3365800255,6
768,201541.2646551642,5
769,357128.7085995856,6
770,229131.48711487616,5
771,317991.41681308195,5
772,256576.30452204743,5
773,560740.2772679792,8
774,409159.21110965475,5
775,191753.04089539967,4
776,258816.9112927175,5
777,479017.2371084137,6
778,74181.91578287896,3
779,425418.49674071034,6
780,496174.954274032,6
781,321699.5457018586,6
782,415400.00803245185,6
783,209543.8061622573,4
784,246700.77450914693,5
785,415717.8402866316,5
786,212675.6769788189,4
787,231472.7260680107,4
788,467294.4331943087,6
789,426659.9063862191,6
790,284608.3183347753,5
791,402251.0990964105,6
792,310725.3580345369,6
793,131327.70276188268,4
794,237920.13549057423,4
795,267396.94821054535,4
796,226820.611598413,4
797,365085.2759403575,5
798,361415.5860069238,5
799,506021.8119411642,6
800,273079.9159286105,5
801,122282.77292350194,3
802,396201.5090819986,5
803,392225.6408468771,6
804,342518.2903678224,5
805,354156.13398513163,5
806,355504.18800821627,6
807,468043.3297257871,6
808,239282.65625003487,4
809,407063.4388296327,5
810,211003.53009046722,4
811,317582.6206442984,5
812,434220.45380831475,5
813,298364.8744909195,5
814,516432.7794408072,7
815,275135.6667550994,5
816,574393.3806728467,6
817,255077.53702116778,5
818,306375.63147972594,5
819,219513.09004303292,4
820,260161.61594110343,5
821,234077.45917008212,4
822,291730.2834060096,5
823,358115.8038920105,5
824,422343.37428389245,5
825,411986.62138335686,5
826,400405.47955953126,6
827,466652.7186094802,6
828,332687.165128677,5
829,482590.7790079987,6
830,327988.09614451503,5
831,259084.058155883,5
832,288086.9332769123,5
833,513676.5135992059,6
834,420193.77118262305,6
835,231053.67798507662,4
836,373633.33387517,6
837,449933.12671477726,6
838,423921.97115532646,6
839,305827.2784667716,5
840,386061.3942853465,6
841,223371.1707022817,4
842,245567.15593482298,5
843,213642.2598881335,4
844,251742.38224075848,5
845,375158.82013187587,5
846,321208.8332090341,6
847,264320.27973700897,5
848,186098.30874625608,4
849,545520.8998900821,7
850,431716.77636979095,6
851,225161.84233143338,4
852,185156.1183021422,5
853,128936.25312195838,3
854,542633.1964409148,7
855,836875.8892648447,8
856,458748.2294194947,6
857,175228.40641180577,4
858,466743.5451409484,6
859,238863.374349266,4
860,316934.9018836727,5
861,245582.3182823684,4
862,192990.21316841204,4
863,229287.5927779832,4
864,301302.25439505134,5
865,258344.6709865098,5
866,154374.41579047407,4
867,599919.8769924776,8
868,201109.89521513396,4
869,226126.3926698185,4
870,284701.6283258136,5
871,494957.28171035525,6
872,319982.67170341784,5
873,373622.28395676933,6
874,257222.56440607228,4
875,213778.89398304993,5
876,331305.1678228062,5
877,309897.3615656989,6
878,364297.80380399566,5
879,189792.33791363772,4
880,137296.30032491346,4
881,346840.4815172901,6
882,373739.0871156816,5
883,211217.1141186682,4
884,200597.44922846404,4
885,358031.1744821655,5
886,157895.0133265789,4
887,123810.2851063373,3
888,365568.5010853324,6
889,127887.99485193007,3
890,224182.73491902254,4
891,236849.24227677102,4
892,706852.9810629662,7
893,248492.60073727032,5
894,491301.8580394439,6
895,508147.97285416047,6
896,228267.0589122425,4
897,226803.2201775143,5
898,223061.87510780804,4
899,33384.313323039736,4
900,127653.37290267073,3
901,442740.3499876942,6
902,349927.3993921979,5
903,394449.24800020334,6
904,386219.5059341698,5
905,240897.41255962552,5
906,217177.2512350728,4
907,359344.5840268503,5
908,271708.7779805218,5
909,280852.4335791555,5
910,220252.1155534996,5
911,451508.32302319986,6
912,523516.51988051215,6
913,238809.9932488765,4
914,321549.2305133787,5
915,331199.44294243975,5
916,593533.4490290186,6
917,324114.3410939021,5
918,398912.7612650695,5
919,215608.10643999325,4
920,440590.07258864876,6
921,459935.81694527366,6
922,220934.21420544406,4
923,243933.2387583109,4
924,235005.93869556295,4
925,107898.89494710592,3
926,259218.55255013664,5
927,336262.58384713985,6
928,390747.7476756635,5
929,389613.8657320889,6
930,219530.2299258904,4
931,318225.1294098937,5
932,196356.06239005236,4
933,248617.7677252303,5
934,475442.5727208377,6
935,219876.06533151184,4
936,342156.19605173473,5
937,418066.49347238126,6
938,227536.950134949,4
939,206259.29691029753,4
940,243790.47189924534,4
941,521559.3523686959,6
942,298688.24077374826,6
943,272185.499309593,5
944,130201.0815185642,3
945,176738.3933178709,4
946,209011.23323653004,4
947,272098.4551225803,5
948,270426.278967774,5
949,317972.7631253374,6
950,236320.0625231677,5
951,563411.830637817,7
952,149137.08315601014,4
953,168463.07850291548,4
954,421755.43075850984,6
955,513181.22589758656,6
956,554870.8700762967,6
957,430349.9727594811,6
958,492035.72792753263,7
959,259257.34859610838,5
960,378675.64642791654,6
961,234675.2351073515,4
962,522994.904580797,6
963,545051.407520521,6
964,481442.9793855187,6
965,577252.6419867799,7
966,413858.56032372924,6
967,225426.08963797303,4
968,205296.85978012186,4
969,247541.3386797408,5
970,620603.8786987907,7
971,429204.0108020334,6
972,175278.2336299874,4
973,378675.1224182388,5
974,859117.5314788978,8
975,370195.34365801944,5
976,335858.903072925,5
977,426075.0916307901,6
978,531047.3894740867,6
979,70183.20675727291,4
980,351537.917420477,5
981,484530.96425635077,6
982,283232.51783300616,6
983,246642.39983848622,5
984,308672.1603081668,5
985,385230.5236338757,5
986,372496.23039981327,5
987,375273.6704182861,6
988,301765.1805319334,6
989,757805.7072965116,8
990,242686.30969279516,5
991,233577.87546650087,4
992,291572.17566406995,5
993,240097.26907958466,5
994,215545.74158616457,5
995,347137.97953620437,6
996,360511.0861472179,6
997,229790.09346577903,4
998,377839.5490001986,6
999,402734.003141299,6
